Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
-0.097503662109375;16.7735899576508;-8.78906250000006E-06;1;1;0.000338979870080948;-0.000226832505315542;10 mA
-0.095062255859375;17.0177309570344;-6.34765625000006E-06;1;2;0.000338979870080948;-0.000226832505315542;10 mA
-0.092620849609375;17.261871956418;-4.91333007812497E-06;1;3;0.000338979870080948;-0.000226832505315542;10 mA
-0.090179443359375;17.5060129558016;-4.02832031249994E-06;1;4;0.000338979870080948;-0.000226832505315542;10 mA
-0.087738037109375;17.7501539551852;-5.68542480468751E-06;1;5;0.000338979870080948;-0.000226832505315542;1 mA
-0.085296630859375;17.9942949545688;-5.11474609375E-06;1;6;0.000338979870080948;-0.000226832505315542;1 mA
-0.082855224609375;18.2384359539524;-4.669189453125E-06;1;7;0.000338979870080948;-0.000226832505315542;1 mA
-0.080413818359375;18.482576953336;-4.23278808593749E-06;1;8;0.000338979870080948;-0.000226832505315542;1 mA
-0.077972412109375;18.7267179527196;-3.9398193359375E-06;1;9;0.000338979870080948;-0.000226832505315542;1 mA
-0.075531005859375;18.9708589521032;-3.6773681640625E-06;1;10;0.000338979870080948;-0.000226832505315542;100 µA
-0.073089599609375;19.2149999514868;-3.466796875E-06;1;11;0.000338979870080948;-0.000226832505315542;100 µA
-0.070648193359375;19.4591409508704;-3.2073974609375E-06;1;12;0.000338979870080948;-0.000226832505315542;100 µA
-0.068206787109375;19.703281950254;-3.03955078125E-06;1;13;0.000338979870080948;-0.000226832505315542;100 µA
-0.065765380859375;19.9474229496376;-2.8717041015625E-06;1;14;0.000338979870080948;-0.000226832505315542;100 µA
-0.063323974609375;20.1915639490212;-2.6318359375E-06;1;15;0.000338979870080948;-0.000226832505315542;10 µA
-0.060882568359375;20.4357049484048;-2.5067138671875E-06;1;16;0.000338979870080948;-0.000226832505315542;10 µA
-0.058441162109375;20.6798459477884;-2.3712158203125E-06;1;17;0.000338979870080948;-0.000226832505315542;10 µA
-0.055999755859375;20.923986947172;-2.23907470703125E-06;1;18;0.000338979870080948;-0.000226832505315542;10 µA
-0.053558349609375;21.1681279465556;-2.109375E-06;1;19;0.000338979870080948;-0.000226832505315542;10 µA
-0.051116943359375;21.4122689459392;-2.01995849609375E-06;1;20;0.000338979870080948;-0.000226832505315542;1 µA
-0.048675537109375;21.6564099453228;-1.94061279296875E-06;1;21;0.000338979870080948;-0.000226832505315542;1 µA
-0.046234130859375;21.9005509447064;-1.86004638671875E-06;1;22;0.000338979870080948;-0.000226832505315542;1 µA
-0.043792724609375;22.14469194409;-1.74468994140625E-06;1;23;0.000338979870080948;-0.000226832505315542;1 µA
-0.041351318359375;22.3888329434736;-1.65740966796875E-06;1;24;0.000338979870080948;-0.000226832505315542;1 µA
-0.038909912109375;22.6329739428572;-1.611328125E-06;1;25;0.000338979870080948;-0.000226832505315542;1 µA
-0.036468505859375;22.8771149422408;-1.55914306640625E-06;1;26;0.000338979870080948;-0.000226832505315542;1 µA
-0.034027099609375;23.1212559416244;-1.47125244140625E-06;1;27;0.000338979870080948;-0.000226832505315542;1 µA
-0.031585693359375;23.365396941008;-1.343994140625E-06;1;28;0.000338979870080948;-0.000226832505315542;1 µA
-0.029144287109375;23.6095379403916;-1.2713623046875E-06;1;29;0.000338979870080948;-0.000226832505315542;1 µA
-0.026702880859375;23.8536789397753;-1.2005615234375E-06;1;30;0.000338979870080948;-0.000226832505315542;1 µA
-0.024261474609375;24.0978199391589;-1.13525390625E-06;1;31;0.000338979870080948;-0.000226832505315542;1 µA
-0.021820068359375;24.3419609385425;-1.0699462890625E-06;1;32;0.000338979870080948;-0.000226832505315542;1 µA
-0.019378662109375;24.5861019379261;-1.0028076171875E-06;1;33;0.000338979870080948;-0.000226832505315542;1 µA
-0.016937255859375;24.8302429373097;-9.344482421875E-07;1;34;0.000338979870080948;-0.000226832505315542;1 µA
-0.014495849609375;25.0743839366933;-8.6700439453125E-07;1;35;0.000338979870080948;-0.000226832505315542;1 µA
-0.012054443359375;25.3185249360769;-8.1390380859375E-07;1;36;0.000338979870080948;-0.000226832505315542;1 µA
-0.009613037109375;25.5626659354605;-7.647705078125E-07;1;37;0.000338979870080948;-0.000226832505315542;1 µA
-0.007171630859375;25.8068069348441;-7.2296142578125E-07;1;38;0.000338979870080948;-0.000226832505315542;1 µA
-0.004730224609375;26.0509479342277;-6.756591796875E-07;1;39;0.000338979870080948;-0.000226832505315542;1 µA
-0.002288818359375;26.2950889336113;-6.1676025390625E-07;1;40;0.000338979870080948;-0.000226832505315542;1 µA
0.000152587890625;26.5392299329949;-5.8563232421875E-07;1;41;0.000338979870080948;-0.000226832505315542;1 µA
0.002593994140625;26.7833709323785;-5.3802490234375E-07;1;42;0.000338979870080948;-0.000226832505315542;1 µA
0.005035400390625;27.0275119317621;-4.8309326171875E-07;1;43;0.000338979870080948;-0.000226832505315542;1 µA
0.007476806640625;27.2716529311457;-4.52880859375E-07;1;44;0.000338979870080948;-0.000226832505315542;1 µA
0.009918212890625;27.5157939305293;-4.06494140625E-07;1;45;0.000338979870080948;-0.000226832505315542;1 µA
0.012359619140625;27.7599349299129;-3.570556640625E-07;1;46;0.000338979870080948;-0.000226832505315542;1 µA
0.014801025390625;28.0040759292965;-3.18603515625E-07;1;47;0.000338979870080948;-0.000226832505315542;1 µA
0.017242431640625;28.2482169286801;-2.64007568359375E-07;1;48;0.000338979870080948;-0.000226832505315542;100 nA
0.019683837890625;28.4923579280637;-2.222900390625E-07;1;49;0.000338979870080948;-0.000226832505315542;100 nA
0.022125244140625;28.7364989274473;-1.788330078125E-07;1;50;0.000338979870080948;-0.000226832505315542;100 nA
0.024566650390625;28.9806399268309;-1.41357421875E-07;1;51;0.000338979870080948;-0.000226832505315542;100 nA
0.027008056640625;29.2247809262145;-1.0845947265625E-07;1;52;0.000338979870080948;-0.000226832505315542;100 nA
0.029449462890625;29.4689219255981;-6.5277099609375E-08;1;53;0.000338979870080948;-0.000226832505315542;100 nA
0.031890869140625;29.7130629249817;-3.594970703125E-08;1;54;0.000338979870080948;-0.000226832505315542;100 nA
0.034332275390625;29.9572039243653;-3.3721923828125E-09;1;55;0.000338979870080948;-0.000226832505315542;100 nA
0.036773681640625;30.2013449237489;4.91943359375E-08;1;56;0.000338979870080948;-0.000226832505315542;100 nA
0.039215087890625;30.4454859231325;8.2000732421875E-08;1;57;0.000338979870080948;-0.000226832505315542;100 nA
0.041656494140625;30.6896269225161;1.24114990234375E-07;1;58;0.000338979870080948;-0.000226832505315542;100 nA
0.044097900390625;30.9337679218997;1.5771484375E-07;1;59;0.000338979870080948;-0.000226832505315542;100 nA
0.046539306640625;31.1779089212833;1.87347412109375E-07;1;60;0.000338979870080948;-0.000226832505315542;100 nA
0.048980712890625;31.422049920667;2.11700439453125E-07;1;61;0.000338979870080948;-0.000226832505315542;100 nA
0.051422119140625;31.6661909200506;2.50885009765625E-07;1;62;0.000338979870080948;-0.000226832505315542;100 nA
0.053863525390625;31.9103319194342;2.84912109375E-07;1;63;0.000338979870080948;-0.000226832505315542;100 nA
0.056304931640625;32.1544729188178;3.11981201171875E-07;1;64;0.000338979870080948;-0.000226832505315542;100 nA
0.058746337890625;32.3986139182014;3.43902587890625E-07;1;65;0.000338979870080948;-0.000226832505315542;100 nA
0.061187744140625;32.642754917585;3.75823974609375E-07;1;66;0.000338979870080948;-0.000226832505315542;100 nA
0.063629150390625;32.8868959169686;4.1436767578125E-07;1;67;0.000338979870080948;-0.000226832505315542;100 nA
0.066070556640625;33.1310369163522;4.3878173828125E-07;1;68;0.000338979870080948;-0.000226832505315542;100 nA
0.068511962890625;33.3751779157358;4.6875E-07;1;69;0.000338979870080948;-0.000226832505315542;100 nA
0.070953369140625;33.6193189151194;5.087890625E-07;1;70;0.000338979870080948;-0.000226832505315542;100 nA
0.073394775390625;33.863459914503;5.35858154296875E-07;1;71;0.000338979870080948;-0.000226832505315542;100 nA
0.075836181640625;34.1076009138866;5.562744140625E-07;1;72;0.000338979870080948;-0.000226832505315542;100 nA
0.078277587890625;34.3517419132702;5.78704833984375E-07;1;73;0.000338979870080948;-0.000226832505315542;100 nA
0.080718994140625;34.5958829126538;6.08795166015625E-07;1;74;0.000338979870080948;-0.000226832505315542;100 nA
0.083160400390625;34.8400239120374;6.378173828125E-07;1;75;0.000338979870080948;-0.000226832505315542;1 µA
0.085601806640625;35.084164911421;6.6864013671875E-07;1;76;0.000338979870080948;-0.000226832505315542;1 µA
0.088043212890625;35.3283059108046;6.927490234375E-07;1;77;0.000338979870080948;-0.000226832505315542;1 µA
0.090484619140625;35.5724469101882;7.318115234375E-07;1;78;0.000338979870080948;-0.000226832505315542;1 µA
