Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
-0.009613037109375;15.3818629611645;-6.658935546875E-07;1;37;0.000213056582957506;-0.00018331503123045;1 µA
-0.007171630859375;15.5039329608563;-6.0577392578125E-07;1;38;0.000213056582957506;-0.00018331503123045;1 µA
-0.004730224609375;15.6260029605481;-5.548095703125E-07;1;39;0.000213056582957506;-0.00018331503123045;1 µA
-0.002288818359375;15.7480729602399;-5.145263671875E-07;1;40;0.000213056582957506;-0.00018331503123045;1 µA
0.000152587890625;15.8701429599317;-4.62646484375E-07;1;41;0.000213056582957506;-0.00018331503123045;1 µA
0.002593994140625;15.9922129596235;-4.1168212890625E-07;1;42;0.000213056582957506;-0.00018331503123045;1 µA
0.005035400390625;16.1142829593153;-3.4393310546875E-07;1;43;0.000213056582957506;-0.00018331503123045;1 µA
0.007476806640625;16.2363529590071;-3.0792236328125E-07;1;44;0.000213056582957506;-0.00018331503123045;1 µA
0.009918212890625;16.358422958699;-2.532958984375E-07;1;45;0.000213056582957506;-0.00018331503123045;1 µA
0.012359619140625;16.4804929583908;-2.093505859375E-07;1;46;0.000213056582957506;-0.00018331503123045;100 nA
0.014801025390625;16.6025629580826;-1.7132568359375E-07;1;47;0.000213056582957506;-0.00018331503123045;100 nA
0.017242431640625;16.7246329577744;-1.21063232421875E-07;1;48;0.000213056582957506;-0.00018331503123045;100 nA
0.019683837890625;16.8467029574662;-8.447265625E-08;1;49;0.000213056582957506;-0.00018331503123045;100 nA
0.022125244140625;16.968772957158;-2.2064208984375E-08;1;50;0.000213056582957506;-0.00018331503123045;100 nA
0.024566650390625;17.0908429568498;1.33056640625E-08;1;51;0.000213056582957506;-0.00018331503123045;100 nA
0.027008056640625;17.2129129565416;5.7464599609375E-08;1;52;0.000213056582957506;-0.00018331503123045;100 nA
0.029449462890625;17.3349829562334;1.04278564453125E-07;1;53;0.000213056582957506;-0.00018331503123045;100 nA
0.031890869140625;17.4570529559252;1.42822265625E-07;1;54;0.000213056582957506;-0.00018331503123045;100 nA
0.034332275390625;17.579122955617;1.827392578125E-07;1;55;0.000213056582957506;-0.00018331503123045;100 nA
0.036773681640625;17.7011929553088;2.43316650390625E-07;1;56;0.000213056582957506;-0.00018331503123045;100 nA
0.039215087890625;17.8232629550006;2.79541015625E-07;1;57;0.000213056582957506;-0.00018331503123045;100 nA
0.041656494140625;17.9453329546924;3.19793701171875E-07;1;58;0.000213056582957506;-0.00018331503123045;100 nA
0.044097900390625;18.0674029543842;3.448486328125E-07;1;59;0.000213056582957506;-0.00018331503123045;100 nA
