Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
-0.097503662109375;10.3072659739767;-2.91748046875E-05;1;1;0.00039888390339911;-0.0002138193231076;10 mA
-0.095062255859375;10.3683009738226;-2.31018066406249E-05;1;2;0.00039888390339911;-0.0002138193231076;10 mA
-0.092620849609375;10.4293359736685;-1.922607421875E-05;1;3;0.00039888390339911;-0.0002138193231076;10 mA
-0.090179443359375;10.4903709735144;-1.67236328125001E-05;1;4;0.00039888390339911;-0.0002138193231076;10 mA
-0.087738037109375;10.5514059733603;-1.65130615234375E-05;1;5;0.00039888390339911;-0.0002138193231076;1 mA
-0.085296630859375;10.6124409732062;-1.50177001953125E-05;1;6;0.00039888390339911;-0.0002138193231076;1 mA
-0.082855224609375;10.6734759730521;-1.3751220703125E-05;1;7;0.00039888390339911;-0.0002138193231076;1 mA
-0.080413818359375;10.734510972898;-1.27166748046875E-05;1;8;0.00039888390339911;-0.0002138193231076;1 mA
-0.077972412109375;10.7955459727439;-1.18804931640625E-05;1;9;0.00039888390339911;-0.0002138193231076;1 mA
-0.075531005859375;10.8565809725898;-1.107177734375E-05;1;10;0.00039888390339911;-0.0002138193231076;100 µA
-0.073089599609375;10.9176159724357;-1.03118896484375E-05;1;11;0.00039888390339911;-0.0002138193231076;100 µA
-0.070648193359375;10.9786509722816;-9.6771240234375E-06;1;12;0.00039888390339911;-0.0002138193231076;100 µA
-0.068206787109375;11.0396859721275;-9.0240478515625E-06;1;13;0.00039888390339911;-0.0002138193231076;100 µA
-0.065765380859375;11.1007209719734;-8.514404296875E-06;1;14;0.00039888390339911;-0.0002138193231076;100 µA
-0.063323974609375;11.1617559718193;-7.879638671875E-06;1;15;0.00039888390339911;-0.0002138193231076;10 µA
-0.060882568359375;11.2227909716652;-7.4127197265625E-06;1;16;0.00039888390339911;-0.0002138193231076;10 µA
-0.058441162109375;11.2838259715111;-6.9854736328125E-06;1;17;0.00039888390339911;-0.0002138193231076;10 µA
-0.055999755859375;11.344860971357;-6.5338134765625E-06;1;18;0.00039888390339911;-0.0002138193231076;10 µA
-0.053558349609375;11.4058959712029;-6.15234375E-06;1;19;0.00039888390339911;-0.0002138193231076;10 µA
-0.051116943359375;11.4669309710488;-5.7952880859375E-06;1;20;0.00039888390339911;-0.0002138193231076;10 µA
-0.048675537109375;11.5279659708947;-5.48095703125E-06;1;21;0.00039888390339911;-0.0002138193231076;10 µA
-0.046234130859375;11.5890009707406;-5.21240234375E-06;1;22;0.00039888390339911;-0.0002138193231076;10 µA
-0.043792724609375;11.6500359705865;-4.8309326171875E-06;1;23;0.00039888390339911;-0.0002138193231076;10 µA
-0.041351318359375;11.7110709704324;-4.5501708984375E-06;1;24;0.00039888390339911;-0.0002138193231076;10 µA
-0.038909912109375;11.7721059702783;-4.266357421875E-06;1;25;0.00039888390339911;-0.0002138193231076;10 µA
-0.036468505859375;11.8331409701242;-4.0008544921875E-06;1;26;0.00039888390339911;-0.0002138193231076;10 µA
-0.034027099609375;11.8941759699701;-3.7384033203125E-06;1;27;0.00039888390339911;-0.0002138193231076;10 µA
-0.031585693359375;11.955210969816;-3.53271484375E-06;1;28;0.00039888390339911;-0.0002138193231076;1 µA
-0.029144287109375;12.0162459696619;-3.302001953125E-06;1;29;0.00039888390339911;-0.0002138193231076;1 µA
-0.026702880859375;12.0772809695078;-3.08013916015625E-06;1;30;0.00039888390339911;-0.0002138193231076;1 µA
-0.024261474609375;12.1383159693537;-2.85430908203125E-06;1;31;0.00039888390339911;-0.0002138193231076;1 µA
-0.021820068359375;12.1993509691996;-2.62237548828125E-06;1;32;0.00039888390339911;-0.0002138193231076;1 µA
-0.019378662109375;12.2603859690455;-2.40936279296875E-06;1;33;0.00039888390339911;-0.0002138193231076;1 µA
-0.016937255859375;12.3214209688914;-2.19573974609375E-06;1;34;0.00039888390339911;-0.0002138193231076;1 µA
-0.014495849609375;12.3824559687373;-1.99005126953125E-06;1;35;0.00039888390339911;-0.0002138193231076;1 µA
-0.012054443359375;12.4434909685832;-1.7926025390625E-06;1;36;0.00039888390339911;-0.0002138193231076;1 µA
-0.009613037109375;12.5045259684291;-1.59149169921875E-06;1;37;0.00039888390339911;-0.0002138193231076;1 µA
-0.007171630859375;12.565560968275;-1.4105224609375E-06;1;38;0.00039888390339911;-0.0002138193231076;1 µA
-0.004730224609375;12.6265959681209;-1.1962890625E-06;1;39;0.00039888390339911;-0.0002138193231076;1 µA
-0.002288818359375;12.6876309679668;-9.8968505859375E-07;1;40;0.00039888390339911;-0.0002138193231076;1 µA
0.000152587890625;12.7486659678127;-8.7799072265625E-07;1;41;0.00039888390339911;-0.0002138193231076;1 µA
0.002593994140625;12.8097009676586;-7.1502685546875E-07;1;42;0.00039888390339911;-0.0002138193231076;1 µA
0.005035400390625;12.8707359675045;-4.9346923828125E-07;1;43;0.00039888390339911;-0.0002138193231076;1 µA
