Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
-0.097503662109375;31.9546669193222;-1.11083984375E-05;1;1;0.000288983160629869;-0.000176736222580075;10 mA
-0.095062255859375;32.0157019191681;-6.22558593750003E-06;1;2;0.000288983160629869;-0.000176736222580075;10 mA
-0.092620849609375;32.076736919014;-4.18090820312494E-06;1;3;0.000288983160629869;-0.000176736222580075;10 mA
-0.090179443359375;32.1377719188599;-3.02124023437503E-06;1;4;0.000288983160629869;-0.000176736222580075;10 mA
-0.087738037109375;32.1988069187058;-3.753662109375E-06;1;5;0.000288983160629869;-0.000176736222580075;1 mA
-0.085296630859375;32.2598419185517;-3.21350097656251E-06;1;6;0.000288983160629869;-0.000176736222580075;1 mA
-0.082855224609375;32.3208769183976;-2.7740478515625E-06;1;7;0.000288983160629869;-0.000176736222580075;1 mA
-0.080413818359375;32.3819119182435;-2.4383544921875E-06;1;8;0.000288983160629869;-0.000176736222580075;1 mA
-0.077972412109375;32.4429469180894;-2.17285156249999E-06;1;9;0.000288983160629869;-0.000176736222580075;1 mA
-0.075531005859375;32.5039819179353;-1.8890380859375E-06;1;10;0.000288983160629869;-0.000176736222580075;100 µA
-0.073089599609375;32.5650169177812;-1.6876220703125E-06;1;11;0.000288983160629869;-0.000176736222580075;100 µA
-0.070648193359375;32.6260519176271;-1.47705078125E-06;1;12;0.000288983160629869;-0.000176736222580075;100 µA
-0.068206787109375;32.687086917473;-1.33056640625E-06;1;13;0.000288983160629869;-0.000176736222580075;100 µA
-0.065765380859375;32.7481219173189;-1.141357421875E-06;1;14;0.000288983160629869;-0.000176736222580075;100 µA
-0.063323974609375;32.8091569171648;-9.5794677734375E-07;1;15;0.000288983160629869;-0.000176736222580075;10 µA
-0.060882568359375;32.8701919170107;-8.2733154296875E-07;1;16;0.000288983160629869;-0.000176736222580075;10 µA
-0.058441162109375;32.9312269168566;-6.97021484375E-07;1;17;0.000288983160629869;-0.000176736222580075;10 µA
-0.055999755859375;32.9922619167025;-5.79833984375E-07;1;18;0.000288983160629869;-0.000176736222580075;10 µA
-0.053558349609375;33.0532969165484;-4.78515625E-07;1;19;0.000288983160629869;-0.000176736222580075;10 µA
-0.051116943359375;33.1143319163943;-3.8299560546875E-07;1;20;0.000288983160629869;-0.000176736222580075;1 µA
-0.048675537109375;33.1753669162403;-2.850341796875E-07;1;21;0.000288983160629869;-0.000176736222580075;1 µA
-0.046234130859375;33.2364019160862;-1.7791748046875E-07;1;22;0.000288983160629869;-0.000176736222580075;1 µA
-0.043792724609375;33.2974369159321;-8.636474609375E-08;1;23;0.000288983160629869;-0.000176736222580075;1 µA
-0.041351318359375;33.358471915778;-5.4931640625E-09;1;24;0.000288983160629869;-0.000176736222580075;1 µA
-0.038909912109375;33.4195069156239;8.1817626953125E-08;1;25;0.000288983160629869;-0.000176736222580075;100 nA
-0.036468505859375;33.4805419154698;1.578369140625E-07;1;26;0.000288983160629869;-0.000176736222580075;100 nA
-0.034027099609375;33.5415769153157;2.379150390625E-07;1;27;0.000288983160629869;-0.000176736222580075;100 nA
-0.031585693359375;33.6026119151616;2.9705810546875E-07;1;28;0.000288983160629869;-0.000176736222580075;100 nA
-0.029144287109375;33.6636469150075;3.78173828125E-07;1;29;0.000288983160629869;-0.000176736222580075;100 nA
-0.026702880859375;33.7246819148534;4.6002197265625E-07;1;30;0.000288983160629869;-0.000176736222580075;100 nA
-0.024261474609375;33.7857169146993;5.1690673828125E-07;1;31;0.000288983160629869;-0.000176736222580075;100 nA
-0.021820068359375;33.8467519145452;5.772705078125E-07;1;32;0.000288983160629869;-0.000176736222580075;100 nA
-0.019378662109375;33.9077869143911;6.52252197265625E-07;1;33;0.000288983160629869;-0.000176736222580075;100 nA
-0.016937255859375;33.968821914237;6.927490234375E-07;1;34;0.000288983160629869;-0.000176736222580075;1 µA
-0.014495849609375;34.0298569140829;7.5836181640625E-07;1;35;0.000288983160629869;-0.000176736222580075;1 µA
-0.012054443359375;34.0908919139288;8.1298828125E-07;1;36;0.000288983160629869;-0.000176736222580075;1 µA
-0.009613037109375;34.1519269137747;8.8409423828125E-07;1;37;0.000288983160629869;-0.000176736222580075;1 µA
-0.007171630859375;34.2129619136206;9.2498779296875E-07;1;38;0.000288983160629869;-0.000176736222580075;1 µA
-0.004730224609375;34.2739969134665;9.9273681640625E-07;1;39;0.000288983160629869;-0.000176736222580075;1 µA
-0.002288818359375;34.3350319133124;1.05560302734375E-06;1;40;0.000288983160629869;-0.000176736222580075;1 µA
0.000152587890625;34.3960669131583;1.12152099609375E-06;1;41;0.000288983160629869;-0.000176736222580075;1 µA
0.002593994140625;34.4571019130042;1.1810302734375E-06;1;42;0.000288983160629869;-0.000176736222580075;1 µA
0.005035400390625;34.5181369128501;1.241455078125E-06;1;43;0.000288983160629869;-0.000176736222580075;1 µA
0.007476806640625;34.579171912696;1.30096435546875E-06;1;44;0.000288983160629869;-0.000176736222580075;1 µA
0.009918212890625;34.6402069125419;1.358642578125E-06;1;45;0.000288983160629869;-0.000176736222580075;1 µA
0.012359619140625;34.7012419123878;1.41998291015625E-06;1;46;0.000288983160629869;-0.000176736222580075;1 µA
0.014801025390625;34.7622769122337;1.47491455078125E-06;1;47;0.000288983160629869;-0.000176736222580075;1 µA
0.017242431640625;34.8233119120796;1.534423828125E-06;1;48;0.000288983160629869;-0.000176736222580075;1 µA
0.019683837890625;34.8843469119255;1.605224609375E-06;1;49;0.000288983160629869;-0.000176736222580075;1 µA
