Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range;Overload
-0.021820068359375;11.1465069718578;7.36724853515625E-07;1;32;0.000231204046308994;-0.000184342028200626;100 nA;Current overload
-0.019378662109375;11.1953349717345;8.8836669921875E-07;1;33;0.000231204046308994;-0.000184342028200626;1 µA;
-0.016937255859375;11.2441629716112;1.04339599609375E-06;1;34;0.000231204046308994;-0.000184342028200626;1 µA;
-0.014495849609375;11.2929909714879;1.192626953125E-06;1;35;0.000231204046308994;-0.000184342028200626;1 µA;
-0.012054443359375;11.3418189713647;1.32537841796875E-06;1;36;0.000231204046308994;-0.000184342028200626;1 µA;
-0.009613037109375;11.3906469712414;1.4739990234375E-06;1;37;0.000231204046308994;-0.000184342028200626;1 µA;
-0.007171630859375;11.4394749711181;1.60125732421875E-06;1;38;0.000231204046308994;-0.000184342028200626;1 µA;
-0.004730224609375;11.4883029709948;1.727294921875E-06;1;39;0.000231204046308994;-0.000184342028200626;1 µA;
-0.002288818359375;11.5371309708715;1.851806640625E-06;1;40;0.000231204046308994;-0.000184342028200626;1 µA;
0.000152587890625;11.5859589707483;1.9805908203125E-06;1;41;0.000231204046308994;-0.000184342028200626;1 µA;
0.002593994140625;11.634786970625;2.09991455078125E-06;1;42;0.000231204046308994;-0.000184342028200626;1 µA;
0.005035400390625;11.6836149705017;2.22442626953125E-06;1;43;0.000231204046308994;-0.000184342028200626;1 µA;
0.007476806640625;11.7324429703784;2.3345947265625E-06;1;44;0.000231204046308994;-0.000184342028200626;1 µA;
0.009918212890625;11.7812709702552;2.43408203125E-06;1;45;0.000231204046308994;-0.000184342028200626;1 µA;
0.012359619140625;11.8300989701319;2.5360107421875E-06;1;46;0.000231204046308994;-0.000184342028200626;1 µA;
0.014801025390625;11.8789269700086;2.6373291015625E-06;1;47;0.000231204046308994;-0.000184342028200626;1 µA;
0.017242431640625;11.9277549698853;2.7423095703125E-06;1;48;0.000231204046308994;-0.000184342028200626;1 µA;
