Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range;Overload
-0.097503662109375;9.48793997604525;-0.000233306884765625;1;1;0.00465329125523568;-0.00405569026867548;10 mA;
-0.095062255859375;9.56931997583979;-0.00020892333984375;1;2;0.00465329125523568;-0.00405569026867548;10 mA;
-0.092620849609375;9.65069997563432;-0.00019122314453125;1;3;0.00465329125523568;-0.00405569026867548;10 mA;
-0.090179443359375;9.73207997542886;-0.000177154541015625;1;4;0.00465329125523568;-0.00405569026867548;10 mA;
-0.087738037109375;9.8134599752234;-0.00016705322265625;1;5;0.00465329125523568;-0.00405569026867548;1 mA;
-0.085296630859375;9.89483997501793;-0.000157958984375;1;6;0.00465329125523568;-0.00405569026867548;1 mA;
-0.082855224609375;9.97621997481247;-0.00014910888671875;1;7;0.00465329125523568;-0.00405569026867548;1 mA;
-0.080413818359375;10.057599974607;-0.000140960693359375;1;8;0.00465329125523568;-0.00405569026867548;1 mA;
-0.077972412109375;10.1389799744015;-0.000133575439453125;1;9;0.00465329125523568;-0.00405569026867548;1 mA;
-0.075531005859375;10.2203599741961;-0.0001265869140625;1;10;0.00465329125523568;-0.00405569026867548;100 µA;
-0.073089599609375;10.3017399739906;-0.000120208740234375;1;11;0.00465329125523568;-0.00405569026867548;100 µA;
-0.070648193359375;10.3831199737851;-0.0001142578125;1;12;0.00465329125523568;-0.00405569026867548;100 µA;
-0.068206787109375;10.4644999735797;-0.00010870361328125;1;13;0.00465329125523568;-0.00405569026867548;100 µA;
-0.065765380859375;10.5458799733742;-0.000103424072265625;1;14;0.00465329125523568;-0.00405569026867548;100 µA;
-0.063323974609375;10.6272599731687;-9.8388671875E-05;1;15;0.00465329125523568;-0.00405569026867548;100 µA;
-0.060882568359375;10.7086399729633;-9.3597412109375E-05;1;16;0.00465329125523568;-0.00405569026867548;100 µA;
-0.058441162109375;10.7900199727578;-8.9019775390625E-05;1;17;0.00465329125523568;-0.00405569026867548;100 µA;
-0.055999755859375;10.8713999725524;-8.4625244140625E-05;1;18;0.00465329125523568;-0.00405569026867548;100 µA;
-0.053558349609375;10.9527799723469;-8.038330078125E-05;1;19;0.00465329125523568;-0.00405569026867548;100 µA;
-0.051116943359375;11.0341599721414;-7.635498046875E-05;1;20;0.00465329125523568;-0.00405569026867548;100 µA;
-0.048675537109375;11.115539971936;-7.244873046875E-05;1;21;0.00465329125523568;-0.00405569026867548;100 µA;
-0.046234130859375;11.1969199717305;-6.866455078125E-05;1;22;0.00465329125523568;-0.00405569026867548;100 µA;
-0.043792724609375;11.278299971525;-6.500244140625E-05;1;23;0.00465329125523568;-0.00405569026867548;100 µA;
