Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
-0.097503662109375;62.2964318427166;-0.0001944580078125;1;1;0.0061245708167553;-0.00550119549036026;10 mA
-0.095062255859375;62.5405728421002;-0.0001685791015625;1;2;0.0061245708167553;-0.00550119549036026;10 mA
-0.092620849609375;62.7847138414838;-0.000149993896484375;1;3;0.0061245708167553;-0.00550119549036026;10 mA
-0.090179443359375;63.0288548408674;-0.000135467529296875;1;4;0.0061245708167553;-0.00550119549036026;10 mA
-0.087738037109375;63.272995840251;-0.000125579833984375;1;5;0.0061245708167553;-0.00550119549036026;1 mA
-0.085296630859375;63.5171368396346;-0.0001151123046875;1;6;0.0061245708167553;-0.00550119549036026;1 mA
-0.082855224609375;63.7612778390182;-0.000105865478515625;1;7;0.0061245708167553;-0.00550119549036026;1 mA
-0.080413818359375;64.0054188384019;-9.759521484375E-05;1;8;0.0061245708167553;-0.00550119549036026;1 mA
-0.077972412109375;64.2495598377855;-9.0240478515625E-05;1;9;0.0061245708167553;-0.00550119549036026;1 mA
-0.075531005859375;64.4937008371691;-8.3404541015625E-05;1;10;0.0061245708167553;-0.00550119549036026;100 µA
-0.073089599609375;64.7378418365527;-7.720947265625E-05;1;11;0.0061245708167553;-0.00550119549036026;100 µA
-0.070648193359375;64.9819828359363;-7.1502685546875E-05;1;12;0.0061245708167553;-0.00550119549036026;100 µA
-0.068206787109375;65.2261238353199;-6.622314453125E-05;1;13;0.0061245708167553;-0.00550119549036026;100 µA
-0.065765380859375;65.4702648347035;-6.1309814453125E-05;1;14;0.0061245708167553;-0.00550119549036026;100 µA
-0.063323974609375;65.7144058340871;-5.670166015625E-05;1;15;0.0061245708167553;-0.00550119549036026;100 µA
-0.060882568359375;65.9585468334707;-5.242919921875E-05;1;16;0.0061245708167553;-0.00550119549036026;100 µA
-0.058441162109375;66.2026878328543;-4.84771728515625E-05;1;17;0.0061245708167553;-0.00550119549036026;100 µA
-0.055999755859375;66.4468288322379;-4.47235107421875E-05;1;18;0.0061245708167553;-0.00550119549036026;100 µA
