Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range;Overload
-0.055999755859375;55.6388788595253;-0.000235809326171875;1;762;0.00413117380812764;-0.0035392028093338;100 µA;
-0.058441162109375;55.6999138593712;-0.000235992431640625;1;763;0.00413117380812764;-0.0035392028093338;100 µA;
-0.060882568359375;55.7609488592171;-0.000236175537109375;1;764;0.00413117380812764;-0.0035392028093338;100 µA;
-0.063323974609375;55.821983859063;-0.000236358642578125;1;765;0.00413117380812764;-0.0035392028093338;100 µA;
-0.065765380859375;55.8830188589089;-0.000236602783203125;1;766;0.00413117380812764;-0.0035392028093338;100 µA;
-0.068206787109375;55.9440538587548;-0.000236785888671875;1;767;0.00413117380812764;-0.0035392028093338;100 µA;
-0.070648193359375;56.0050888586007;-0.000236968994140625;1;768;0.00413117380812764;-0.0035392028093338;100 µA;
-0.073089599609375;56.0661238584466;-0.000237213134765625;1;769;0.00413117380812764;-0.0035392028093338;100 µA;
-0.075531005859375;56.1271588582925;-0.000237396240234375;1;770;0.00413117380812764;-0.0035392028093338;100 µA;
-0.077972412109375;56.1881938581384;-0.00023760986328125;1;771;0.00413117380812764;-0.0035392028093338;100 µA;
-0.080413818359375;56.2492288579843;-0.00023779296875;1;772;0.00413117380812764;-0.0035392028093338;100 µA;
-0.082855224609375;56.3102638578303;-0.000238006591796875;1;773;0.00413117380812764;-0.0035392028093338;100 µA;
-0.085296630859375;56.3712988576762;-0.00023822021484375;1;774;0.00413117380812764;-0.0035392028093338;100 µA;
-0.087738037109375;56.4323338575221;-0.00023846435546875;1;775;0.00413117380812764;-0.0035392028093338;100 µA;
-0.090179443359375;56.493368857368;-0.000238677978515625;1;776;0.00413117380812764;-0.0035392028093338;100 µA;
-0.092620849609375;56.5544038572139;-0.000238922119140625;1;777;0.00413117380812764;-0.0035392028093338;100 µA;
-0.095062255859375;56.6154388570598;-0.000239166259765625;1;778;0.00413117380812764;-0.0035392028093338;100 µA;
-0.097503662109375;56.6764738569057;-0.000239410400390625;1;779;0.00413117380812764;-0.0035392028093338;100 µA;
-0.099945068359375;56.7375088567516;-0.00023968505859375;1;780;0.00413117380812764;-0.0035392028093338;100 µA;
-0.097503662109375;56.7985438565975;-0.0002291259765625;1;781;0.00413117380812764;-0.0035392028093338;100 µA;
-0.095062255859375;56.8595788564434;-0.000220367431640625;1;782;0.00413117380812764;-0.0035392028093338;100 µA;
-0.092620849609375;56.9206138562893;-0.000212615966796875;1;783;0.00413117380812764;-0.0035392028093338;100 µA;
-0.090179443359375;56.9816488561352;-0.000205535888671875;1;784;0.00413117380812764;-0.0035392028093338;100 µA;
-0.087738037109375;57.0426838559811;-0.000198974609375;1;785;0.00413117380812764;-0.0035392028093338;100 µA;
-0.085296630859375;57.103718855827;-0.000192718505859375;1;786;0.00413117380812764;-0.0035392028093338;100 µA;
-0.082855224609375;57.1647538556729;-0.000186798095703125;1;787;0.00413117380812764;-0.0035392028093338;100 µA;
-0.080413818359375;57.2257888555188;-0.00018115234375;1;788;0.00413117380812764;-0.0035392028093338;100 µA;
-0.077972412109375;57.2868238553647;-0.00017578125;1;789;0.00413117380812764;-0.0035392028093338;100 µA;
-0.075531005859375;57.3478588552106;-0.000170562744140625;1;790;0.00413117380812764;-0.0035392028093338;100 µA;
-0.073089599609375;57.4088938550565;-0.00016552734375;1;791;0.00413117380812764;-0.0035392028093338;100 µA;
-0.070648193359375;57.4699288549024;-0.000160675048828125;1;792;0.00413117380812764;-0.0035392028093338;100 µA;
-0.068206787109375;57.5309638547483;-0.000155975341796875;1;793;0.00413117380812764;-0.0035392028093338;100 µA;
-0.065765380859375;57.5919988545942;-0.000151397705078125;1;794;0.00413117380812764;-0.0035392028093338;100 µA;
-0.063323974609375;57.6530338544401;-0.00014703369140625;1;795;0.00413117380812764;-0.0035392028093338;100 µA;
-0.060882568359375;57.714068854286;-0.000142669677734375;1;796;0.00413117380812764;-0.0035392028093338;100 µA;
-0.058441162109375;57.7751038541319;-0.000138458251953125;1;797;0.00413117380812764;-0.0035392028093338;100 µA;
-0.055999755859375;57.8361388539778;-0.000134368896484375;1;798;0.00413117380812764;-0.0035392028093338;100 µA;
-0.053558349609375;57.8971738538237;-0.000130340576171875;1;799;0.00413117380812764;-0.0035392028093338;100 µA;
-0.051116943359375;57.9582088536696;-0.00012640380859375;1;800;0.00413117380812764;-0.0035392028093338;100 µA;
-0.048675537109375;58.0192438535155;-0.000122589111328125;1;801;0.00413117380812764;-0.0035392028093338;100 µA;
-0.046234130859375;58.0802788533614;-0.000118804931640625;1;802;0.00413117380812764;-0.0035392028093338;100 µA;
-0.043792724609375;58.1413138532073;-0.0001151123046875;1;803;0.00413117380812764;-0.0035392028093338;100 µA;
-0.041351318359375;58.2023488530532;-0.00011151123046875;1;804;0.00413117380812764;-0.0035392028093338;100 µA;
-0.038909912109375;58.2633838528991;-0.000108001708984375;1;805;0.00413117380812764;-0.0035392028093338;100 µA;
-0.036468505859375;58.324418852745;-0.000104522705078125;1;806;0.00413117380812764;-0.0035392028093338;100 µA;
-0.034027099609375;58.3854538525909;-0.000101104736328125;1;807;0.00413117380812764;-0.0035392028093338;100 µA;
-0.031585693359375;58.4464888524368;-9.77783203125E-05;1;808;0.00413117380812764;-0.0035392028093338;100 µA;
-0.029144287109375;58.5075238522827;-9.4512939453125E-05;1;809;0.00413117380812764;-0.0035392028093338;100 µA;
-0.026702880859375;58.5685588521286;-9.1278076171875E-05;1;810;0.00413117380812764;-0.0035392028093338;100 µA;
-0.024261474609375;58.6295938519745;-8.8104248046875E-05;1;811;0.00413117380812764;-0.0035392028093338;100 µA;
-0.021820068359375;58.6906288518204;-8.4991455078125E-05;1;812;0.00413117380812764;-0.0035392028093338;100 µA;
-0.019378662109375;58.7516638516663;-8.1939697265625E-05;1;813;0.00413117380812764;-0.0035392028093338;100 µA;
-0.016937255859375;58.8126988515122;-7.8948974609375E-05;1;814;0.00413117380812764;-0.0035392028093338;100 µA;
-0.014495849609375;58.8737338513581;-7.5958251953125E-05;1;815;0.00413117380812764;-0.0035392028093338;100 µA;
-0.012054443359375;58.934768851204;-7.305908203125E-05;1;816;0.00413117380812764;-0.0035392028093338;100 µA;
-0.009613037109375;58.9958038510499;-7.01904296875E-05;1;817;0.00413117380812764;-0.0035392028093338;100 µA;
-0.007171630859375;59.0568388508958;-6.73828125E-05;1;818;0.00413117380812764;-0.0035392028093338;100 µA;
-0.004730224609375;59.1178738507417;-6.4605712890625E-05;1;819;0.00413117380812764;-0.0035392028093338;100 µA;
-0.002288818359375;59.1789088505876;-6.1859130859375E-05;1;820;0.00413117380812764;-0.0035392028093338;100 µA;
0.000152587890625;59.2399438504335;-5.9112548828125E-05;1;821;0.00413117380812764;-0.0035392028093338;100 µA;
0.002593994140625;59.3009788502794;-5.6427001953125E-05;1;822;0.00413117380812764;-0.0035392028093338;100 µA;
0.005035400390625;59.3620138501253;-5.38330078125E-05;1;823;0.00413117380812764;-0.0035392028093338;100 µA;
0.007476806640625;59.4230488499712;-5.1239013671875E-05;1;824;0.00413117380812764;-0.0035392028093338;100 µA;
0.009918212890625;59.4840838498171;-4.8748779296875E-05;1;825;0.00413117380812764;-0.0035392028093338;100 µA;
0.012359619140625;59.545118849663;-4.62249755859375E-05;1;826;0.00413117380812764;-0.0035392028093338;100 µA;
0.014801025390625;59.6061538495089;-4.3743896484375E-05;1;827;0.00413117380812764;-0.0035392028093338;100 µA;
0.017242431640625;59.6671888493548;-4.1314697265625E-05;1;828;0.00413117380812764;-0.0035392028093338;100 µA;
0.019683837890625;59.7282238492007;-3.88763427734375E-05;1;829;0.00413117380812764;-0.0035392028093338;100 µA;
0.022125244140625;59.7892588490466;-3.64288330078125E-05;1;830;0.00413117380812764;-0.0035392028093338;10 µA;
0.024566650390625;59.8502938488925;-3.40911865234375E-05;1;831;0.00413117380812764;-0.0035392028093338;10 µA;
0.027008056640625;59.9113288487384;-3.17718505859375E-05;1;832;0.00413117380812764;-0.0035392028093338;10 µA;
0.029449462890625;59.9723638485843;-2.94647216796875E-05;1;833;0.00413117380812764;-0.0035392028093338;10 µA;
0.031890869140625;60.0333988484302;-2.72216796875E-05;1;834;0.00413117380812764;-0.0035392028093338;10 µA;
0.034332275390625;60.0944338482761;-2.49847412109375E-05;1;835;0.00413117380812764;-0.0035392028093338;10 µA;
0.036773681640625;60.155468848122;-2.27874755859375E-05;1;836;0.00413117380812764;-0.0035392028093338;10 µA;
0.039215087890625;60.2165038479679;-2.06024169921875E-05;1;837;0.00413117380812764;-0.0035392028093338;10 µA;
0.041656494140625;60.2775388478138;-1.8438720703125E-05;1;838;0.00413117380812764;-0.0035392028093338;10 µA;
0.044097900390625;60.3385738476597;-1.6314697265625E-05;1;839;0.00413117380812764;-0.0035392028093338;10 µA;
0.046539306640625;60.3996088475056;-1.42242431640625E-05;1;840;0.00413117380812764;-0.0035392028093338;10 µA;
0.048980712890625;60.4606438473515;-1.2139892578125E-05;1;841;0.00413117380812764;-0.0035392028093338;10 µA;
0.051422119140625;60.5216788471974;-1.009521484375E-05;1;842;0.00413117380812764;-0.0035392028093338;10 µA;
0.053863525390625;60.5827138470434;-8.06884765625E-06;1;843;0.00413117380812764;-0.0035392028093338;10 µA;
0.056304931640625;60.6437488468893;-6.060791015625E-06;1;844;0.00413117380812764;-0.0035392028093338;10 µA;
0.058746337890625;60.7047838467352;-4.0679931640625E-06;1;845;0.00413117380812764;-0.0035392028093338;10 µA;
0.061187744140625;60.7658188465811;-2.11456298828125E-06;1;846;0.00413117380812764;-0.0035392028093338;10 µA;
0.063629150390625;60.826853846427;-1.629638671875E-07;1;847;0.00413117380812764;-0.0035392028093338;10 µA;
0.066070556640625;60.8878888462729;1.744384765625E-06;1;848;0.00413117380812764;-0.0035392028093338;10 µA;
0.068511962890625;60.9489238461188;3.65509033203125E-06;1;849;0.00413117380812764;-0.0035392028093338;10 µA;
0.070953369140625;61.0099588459647;5.5194091796875E-06;1;850;0.00413117380812764;-0.0035392028093338;1 µA;
0.073394775390625;61.0709938458106;7.3974609375E-06;1;851;0.00413117380812764;-0.0035392028093338;1 µA;Current overload
0.075836181640625;61.1320288456565;9.2437744140625E-06;1;852;0.00413117380812764;-0.0035392028093338;10 µA;
0.078277587890625;61.1930638455024;1.10260009765625E-05;1;853;0.00413117380812764;-0.0035392028093338;10 µA;
0.080718994140625;61.2540988453483;1.2835693359375E-05;1;854;0.00413117380812764;-0.0035392028093338;10 µA;
0.083160400390625;61.3151338451942;1.46392822265625E-05;1;855;0.00413117380812764;-0.0035392028093338;10 µA;
0.085601806640625;61.3761688450401;1.6400146484375E-05;1;856;0.00413117380812764;-0.0035392028093338;10 µA;
0.088043212890625;61.437203844886;1.815185546875E-05;1;857;0.00413117380812764;-0.0035392028093338;10 µA;
0.090484619140625;61.4982388447319;1.9891357421875E-05;1;858;0.00413117380812764;-0.0035392028093338;10 µA;
0.092926025390625;61.5592738445778;2.1624755859375E-05;1;859;0.00413117380812764;-0.0035392028093338;10 µA;
0.095367431640625;61.6203088444237;2.33306884765625E-05;1;860;0.00413117380812764;-0.0035392028093338;10 µA;
0.097808837890625;61.6813438442696;2.5030517578125E-05;1;861;0.00413117380812764;-0.0035392028093338;10 µA;
0.100250244140625;61.7423788441155;2.67059326171875E-05;1;862;0.00413117380812764;-0.0035392028093338;10 µA;
0.102691650390625;61.8034138439614;2.83660888671875E-05;1;863;0.00413117380812764;-0.0035392028093338;10 µA;
0.105133056640625;61.8644488438073;3.00048828125E-05;1;864;0.00413117380812764;-0.0035392028093338;10 µA;
0.107574462890625;61.9254838436532;3.16253662109375E-05;1;865;0.00413117380812764;-0.0035392028093338;10 µA;
0.110015869140625;61.9865188434991;3.3251953125E-05;1;866;0.00413117380812764;-0.0035392028093338;10 µA;
0.112457275390625;62.047553843345;3.48480224609375E-05;1;867;0.00413117380812764;-0.0035392028093338;10 µA;
0.114898681640625;62.1085888431909;3.643798828125E-05;1;868;0.00413117380812764;-0.0035392028093338;10 µA;
0.117340087890625;62.1696238430368;3.79913330078125E-05;1;869;0.00413117380812764;-0.0035392028093338;10 µA;
0.119781494140625;62.2306588428827;3.95660400390625E-05;1;870;0.00413117380812764;-0.0035392028093338;10 µA;
0.122222900390625;62.2916938427286;4.1119384765625E-05;1;871;0.00413117380812764;-0.0035392028093338;10 µA;
0.124664306640625;62.3527288425745;4.2657470703125E-05;1;872;0.00413117380812764;-0.0035392028093338;10 µA;
